entity_id,display_id,acquisition_date,year,month,month_label,satellite,cloud_cover,wrs_path,wrs_row
LC09_L2SP_144051_20230127_02_T1,LC09_L2SP_144051_20230127_02_T1,2023-01-27,2023,1,2023-01,Landsat 9,0.13,144,51
LC08_L2SP_144051_20230204_02_T1,LC08_L2SP_144051_20230204_02_T1,2023-02-04,2023,2,2023-02,Landsat 8,0.85,144,51
LC09_L2SP_144051_20230212_02_T1,LC09_L2SP_144051_20230212_02_T1,2023-02-12,2023,2,2023-02,Landsat 9,0.78,144,51
LC08_L2SP_144051_20230220_02_T1,LC08_L2SP_144051_20230220_02_T1,2023-02-20,2023,2,2023-02,Landsat 8,2.52,144,51
LC08_L2SP_144051_20230324_02_T1,LC08_L2SP_144051_20230324_02_T1,2023-03-24,2023,3,2023-03,Landsat 8,11.69,144,51
LC09_L2SP_144051_20230401_02_T1,LC09_L2SP_144051_20230401_02_T1,2023-04-01,2023,4,2023-04,Landsat 9,11.26,144,51
LC08_L2SP_144051_20230409_02_T1,LC08_L2SP_144051_20230409_02_T1,2023-04-09,2023,4,2023-04,Landsat 8,0.72,144,51
LC09_L2SP_144051_20230417_02_T1,LC09_L2SP_144051_20230417_02_T1,2023-04-17,2023,4,2023-04,Landsat 9,0.1,144,51
LC09_L2SP_144051_20230519_02_T1,LC09_L2SP_144051_20230519_02_T1,2023-05-19,2023,5,2023-05,Landsat 9,4.39,144,51
LC08_L2SP_144051_20230527_02_T1,LC08_L2SP_144051_20230527_02_T1,2023-05-27,2023,5,2023-05,Landsat 8,1.09,144,51
LC08_L2SP_144051_20230815_02_T1,LC08_L2SP_144051_20230815_02_T1,2023-08-15,2023,8,2023-08,Landsat 8,9.91,144,51
LC08_L2SP_144051_20231018_02_T1,LC08_L2SP_144051_20231018_02_T1,2023-10-18,2023,10,2023-10,Landsat 8,0.69,144,51
LC09_L2SP_144051_20231026_02_T1,LC09_L2SP_144051_20231026_02_T1,2023-10-26,2023,10,2023-10,Landsat 9,5.57,144,51
LC09_L2SP_144051_20231111_02_T1,LC09_L2SP_144051_20231111_02_T1,2023-11-11,2023,11,2023-11,Landsat 9,0.24,144,51
LC08_L2SP_144051_20231119_02_T1,LC08_L2SP_144051_20231119_02_T1,2023-11-19,2023,11,2023-11,Landsat 8,5.91,144,51
LC08_L2SP_144051_20240106_02_T1,LC08_L2SP_144051_20240106_02_T1,2024-01-06,2024,1,2024-01,Landsat 8,9.44,144,51
LC09_L2SP_144051_20240114_02_T1,LC09_L2SP_144051_20240114_02_T1,2024-01-14,2024,1,2024-01,Landsat 9,0.46,144,51
LC08_L2SP_144051_20240122_02_T1,LC08_L2SP_144051_20240122_02_T1,2024-01-22,2024,1,2024-01,Landsat 8,0.68,144,51
LC09_L2SP_144051_20240130_02_T1,LC09_L2SP_144051_20240130_02_T1,2024-01-30,2024,1,2024-01,Landsat 9,2.65,144,51
LC08_L2SP_144051_20240207_02_T1,LC08_L2SP_144051_20240207_02_T1,2024-02-07,2024,2,2024-02,Landsat 8,0.0,144,51
LC09_L2SP_144051_20240215_02_T1,LC09_L2SP_144051_20240215_02_T1,2024-02-15,2024,2,2024-02,Landsat 9,1.33,144,51
LC08_L2SP_144051_20240223_02_T1,LC08_L2SP_144051_20240223_02_T1,2024-02-23,2024,2,2024-02,Landsat 8,0.71,144,51
LC09_L2SP_144051_20240302_02_T1,LC09_L2SP_144051_20240302_02_T1,2024-03-02,2024,3,2024-03,Landsat 9,10.69,144,51
LC08_L2SP_144051_20240310_02_T1,LC08_L2SP_144051_20240310_02_T1,2024-03-10,2024,3,2024-03,Landsat 8,1.76,144,51
LC09_L2SP_144051_20240318_02_T1,LC09_L2SP_144051_20240318_02_T1,2024-03-18,2024,3,2024-03,Landsat 9,0.3,144,51
LC08_L2SP_144051_20240326_02_T1,LC08_L2SP_144051_20240326_02_T1,2024-03-26,2024,3,2024-03,Landsat 8,0.04,144,51
LC09_L2SP_144051_20240403_02_T1,LC09_L2SP_144051_20240403_02_T1,2024-04-03,2024,4,2024-04,Landsat 9,2.06,144,51
LC08_L2SP_144051_20240411_02_T1,LC08_L2SP_144051_20240411_02_T1,2024-04-11,2024,4,2024-04,Landsat 8,0.15,144,51
LC08_L2SP_144051_20240427_02_T1,LC08_L2SP_144051_20240427_02_T1,2024-04-27,2024,4,2024-04,Landsat 8,0.0,144,51
LC09_L2SP_144051_20240505_02_T1,LC09_L2SP_144051_20240505_02_T1,2024-05-05,2024,5,2024-05,Landsat 9,0.02,144,51
LC08_L2SP_144051_20240918_02_T1,LC08_L2SP_144051_20240918_02_T1,2024-09-18,2024,9,2024-09,Landsat 8,4.24,144,51
LC09_L2SP_144051_20241028_02_T1,LC09_L2SP_144051_20241028_02_T1,2024-10-28,2024,10,2024-10,Landsat 9,4.48,144,51
LC08_L2SP_144051_20241105_02_T1,LC08_L2SP_144051_20241105_02_T1,2024-11-05,2024,11,2024-11,Landsat 8,11.05,144,51
LC08_L2SP_144051_20241207_02_T1,LC08_L2SP_144051_20241207_02_T1,2024-12-07,2024,12,2024-12,Landsat 8,18.76,144,51
LC09_L2SP_144051_20241215_02_T1,LC09_L2SP_144051_20241215_02_T1,2024-12-15,2024,12,2024-12,Landsat 9,8.08,144,51
LC09_L2SP_144051_20241231_02_T1,LC09_L2SP_144051_20241231_02_T1,2024-12-31,2024,12,2024-12,Landsat 9,0.12,144,51
LC08_L2SP_144051_20250108_02_T1,LC08_L2SP_144051_20250108_02_T1,2025-01-08,2025,1,2025-01,Landsat 8,2.67,144,51
LC09_L2SP_144051_20250116_02_T1,LC09_L2SP_144051_20250116_02_T1,2025-01-16,2025,1,2025-01,Landsat 9,12.78,144,51
LC08_L2SP_144051_20250124_02_T1,LC08_L2SP_144051_20250124_02_T1,2025-01-24,2025,1,2025-01,Landsat 8,7.96,144,51
LC09_L2SP_144051_20250201_02_T1,LC09_L2SP_144051_20250201_02_T1,2025-02-01,2025,2,2025-02,Landsat 9,16.56,144,51
LC08_L2SP_144051_20250209_02_T1,LC08_L2SP_144051_20250209_02_T1,2025-02-09,2025,2,2025-02,Landsat 8,0.18,144,51
LC09_L2SP_144051_20250217_02_T1,LC09_L2SP_144051_20250217_02_T1,2025-02-17,2025,2,2025-02,Landsat 9,0.0,144,51
LC08_L2SP_144051_20250225_02_T1,LC08_L2SP_144051_20250225_02_T1,2025-02-25,2025,2,2025-02,Landsat 8,0.53,144,51
LC08_L2SP_144051_20250313_02_T1,LC08_L2SP_144051_20250313_02_T1,2025-03-13,2025,3,2025-03,Landsat 8,1.18,144,51
LC09_L2SP_144051_20250321_02_T1,LC09_L2SP_144051_20250321_02_T1,2025-03-21,2025,3,2025-03,Landsat 9,12.85,144,51
LC08_L2SP_144051_20250329_02_T1,LC08_L2SP_144051_20250329_02_T1,2025-03-29,2025,3,2025-03,Landsat 8,0.28,144,51
LC09_L2SP_144051_20250406_02_T1,LC09_L2SP_144051_20250406_02_T1,2025-04-06,2025,4,2025-04,Landsat 9,12.11,144,51
LC08_L2SP_144051_20250414_02_T1,LC08_L2SP_144051_20250414_02_T1,2025-04-14,2025,4,2025-04,Landsat 8,0.92,144,51
LC09_L2SP_144051_20250422_02_T1,LC09_L2SP_144051_20250422_02_T1,2025-04-22,2025,4,2025-04,Landsat 9,1.33,144,51
LC08_L2SP_144051_20250430_02_T1,LC08_L2SP_144051_20250430_02_T1,2025-04-30,2025,4,2025-04,Landsat 8,15.3,144,51
LC09_L2SP_144051_20250508_02_T1,LC09_L2SP_144051_20250508_02_T1,2025-05-08,2025,5,2025-05,Landsat 9,5.73,144,51
LC08_L2SP_144051_20251007_02_T1,LC08_L2SP_144051_20251007_02_T1,2025-10-07,2025,10,2025-10,Landsat 8,13.42,144,51
LC09_L2SP_144051_20251031_02_T1,LC09_L2SP_144051_20251031_02_T1,2025-10-31,2025,10,2025-10,Landsat 9,17.45,144,51
LC09_L2SP_144051_20251116_02_T1,LC09_L2SP_144051_20251116_02_T1,2025-11-16,2025,11,2025-11,Landsat 9,13.56,144,51
LC08_L2SP_144051_20251210_02_T1,LC08_L2SP_144051_20251210_02_T1,2025-12-10,2025,12,2025-12,Landsat 8,0.1,144,51
LC09_L2SP_144051_20251218_02_T1,LC09_L2SP_144051_20251218_02_T1,2025-12-18,2025,12,2025-12,Landsat 9,19.17,144,51
LC09_L2SP_144051_20260119_02_T1,LC09_L2SP_144051_20260119_02_T1,2026-01-19,2026,1,2026-01,Landsat 9,0.54,144,51
LC08_L2SP_144051_20260127_02_T1,LC08_L2SP_144051_20260127_02_T1,2026-01-27,2026,1,2026-01,Landsat 8,1.51,144,51
LC09_L2SP_144051_20260204_02_T1,LC09_L2SP_144051_20260204_02_T1,2026-02-04,2026,2,2026-02,Landsat 9,0.06,144,51
LC08_L2SP_144051_20260212_02_T1,LC08_L2SP_144051_20260212_02_T1,2026-02-12,2026,2,2026-02,Landsat 8,0.05,144,51
LC09_L2SP_144051_20260220_02_T1,LC09_L2SP_144051_20260220_02_T1,2026-02-20,2026,2,2026-02,Landsat 9,0.8,144,51
LC08_L2SP_144051_20260228_02_T1,LC08_L2SP_144051_20260228_02_T1,2026-02-28,2026,2,2026-02,Landsat 8,5.6,144,51
LC09_L2SP_144051_20260308_02_T1,LC09_L2SP_144051_20260308_02_T1,2026-03-08,2026,3,2026-03,Landsat 9,0.96,144,51
LC08_L2SP_144051_20260316_02_T1,LC08_L2SP_144051_20260316_02_T1,2026-03-16,2026,3,2026-03,Landsat 8,5.02,144,51
LC09_L2SP_144051_20260324_02_T1,LC09_L2SP_144051_20260324_02_T1,2026-03-24,2026,3,2026-03,Landsat 9,3.23,144,51
LC08_L2SP_144051_20260401_02_T1,LC08_L2SP_144051_20260401_02_T1,2026-04-01,2026,4,2026-04,Landsat 8,0.23,144,51
LC09_L2SP_144051_20260409_02_T1,LC09_L2SP_144051_20260409_02_T1,2026-04-09,2026,4,2026-04,Landsat 9,6.69,144,51
LC08_L2SP_144051_20260417_02_T1,LC08_L2SP_144051_20260417_02_T1,2026-04-17,2026,4,2026-04,Landsat 8,9.82,144,51
LC09_L2SP_144051_20260425_02_T1,LC09_L2SP_144051_20260425_02_T1,2026-04-25,2026,4,2026-04,Landsat 9,19.59,144,51
LC08_L2SP_144051_20260503_02_T1,LC08_L2SP_144051_20260503_02_T1,2026-05-03,2026,5,2026-05,Landsat 8,14.38,144,51
LC09_L2SP_144051_20260511_02_T1,LC09_L2SP_144051_20260511_02_T1,2026-05-11,2026,5,2026-05,Landsat 9,18.27,144,51
LC08_L2SP_144051_20260604_02_T1,LC08_L2SP_144051_20260604_02_T1,2026-06-04,2026,6,2026-06,Landsat 8,14.37,144,51
