pocket_id,pixel_count,area_ha,mean_lst_celsius,max_lst_celsius
240,34,3.06,32.658714294433594,33.742034912109375
241,69,6.21,32.362327575683594,32.80206298828125
242,20,1.7999999999999998,32.3766975402832,32.62774658203125
243,20,1.7999999999999998,32.86393737792969,33.430999755859375
244,49,4.41,32.6722526550293,33.683929443359375
245,325,29.25,33.070743560791016,34.405120849609375
247,46,4.14,33.07417678833008,33.930023193359375
248,373,33.57,33.12136459350586,35.608245849609375
250,26,2.34,32.89777755737305,33.707855224609375
251,125,11.25,32.779808044433594,33.776214599609375
255,77,6.93,32.55046081542969,33.14727783203125
257,208,18.72,32.83717346191406,34.217132568359375
258,54,4.859999999999999,33.14690399169922,34.466644287109375
259,101,9.09,33.52739334106445,35.293792724609375
262,21,1.89,32.61684036254883,33.178070068359375
263,218,19.62,32.92425537109375,34.063323974609375
267,41,3.69,32.829750061035156,33.526702880859375
271,69,6.21,32.72330093383789,33.550628662109375
272,25,2.25,32.796871185302734,33.342132568359375
274,233,20.97,34.370540618896484,37.416412353515625
275,40,3.5999999999999996,33.51122283935547,35.379241943359375
276,26,2.34,32.98572540283203,34.388031005859375
281,138,12.42,32.64488983154297,33.632659912109375
282,52,4.68,32.88679504394531,33.731781005859375
283,53,4.77,32.692874908447266,33.475433349609375
290,36,3.2399999999999998,32.50934600830078,33.10284423828125
295,179,16.11,32.545406341552734,33.14727783203125
300,313,28.169999999999998,33.62973403930664,36.8250732421875
302,87,7.83,34.31538009643555,37.1019287109375
303,45,4.05,32.82052230834961,33.837738037109375
309,42,3.78,33.08666229248047,34.172698974609375
310,55,4.95,32.75110626220703,33.506195068359375
313,32,2.88,32.4614372253418,32.84649658203125
315,205,18.45,33.931095123291016,37.2010498046875
316,20,1.7999999999999998,32.5959587097168,33.14727783203125
317,158,14.219999999999999,34.637779235839844,37.235260009765625
318,90,8.1,32.73237609863281,34.617034912109375
319,127,11.43,32.87169647216797,34.374359130859375
320,97,8.73,33.031394958496094,34.459808349609375
321,32,2.88,32.46784973144531,32.89776611328125
323,20,1.7999999999999998,32.537681579589844,33.05499267578125
324,46,4.14,33.345455169677734,34.480316162109375
326,59,5.31,33.01567077636719,33.994964599609375
332,77,6.93,33.21662139892578,34.675140380859375
333,23,2.07,32.417911529541016,32.83282470703125
334,84,7.56,32.733665466308594,34.206878662109375
337,36,3.2399999999999998,32.95369338989258,33.820648193359375
338,83,7.47,33.030128479003906,34.524749755859375
340,26,2.34,32.53217315673828,33.11309814453125
342,77,6.93,33.04212951660156,34.275238037109375
344,259,23.31,34.37716293334961,38.229888916015625
347,120,10.799999999999999,32.92298126220703,34.664886474609375
348,54,4.859999999999999,32.448486328125,33.04815673828125
349,65,5.85,33.028709411621094,34.558929443359375
350,20,1.7999999999999998,32.39276123046875,32.86358642578125
353,194,17.46,35.30379104614258,42.112762451171875
354,26,2.34,32.39939880371094,32.70294189453125
357,36,3.2399999999999998,33.14842987060547,34.524749755859375
360,269,24.21,33.180809020996094,35.334808349609375
362,426,38.339999999999996,33.94183349609375,38.998931884765625
364,24,2.16,32.488037109375,33.11651611328125
367,553,49.769999999999996,33.0971565246582,34.777679443359375
368,68,6.12,33.516632080078125,35.382659912109375
369,105,9.45,33.082313537597656,34.709320068359375
370,51,4.59,32.74530029296875,34.141937255859375
377,25,2.25,32.72618865966797,33.321624755859375
381,51,4.59,32.83041763305664,34.128265380859375
388,21,1.89,32.77391052246094,33.646331787109375
391,39,3.51,33.212928771972656,34.579437255859375
394,24,2.16,32.65266799926758,33.201995849609375
396,1212,109.08,33.17828369140625,35.799652099609375
402,45,4.05,32.567508697509766,33.15069580078125
403,40,3.5999999999999996,33.198814392089844,34.456390380859375
404,20,1.7999999999999998,33.37920379638672,34.709320068359375
405,512,46.08,33.380584716796875,36.107269287109375
407,23,2.07,32.580787658691406,33.14727783203125
411,192,17.28,33.14686584472656,34.329925537109375
415,20,1.7999999999999998,32.5886116027832,33.219085693359375
420,29,2.61,32.371986389160156,32.66534423828125
422,30,2.6999999999999997,32.65327072143555,33.345550537109375
423,39,3.51,32.53825378417969,33.181488037109375
424,85,7.6499999999999995,32.56650161743164,33.12335205078125
430,21,1.89,32.31801223754883,32.61065673828125
431,124,11.16,33.10431671142578,35.204925537109375
432,33,2.9699999999999998,32.815948486328125,34.152191162109375
437,452,40.68,33.04067611694336,35.225433349609375
440,21,1.89,32.37074661254883,32.89776611328125
442,213,19.169999999999998,33.112979888916016,35.803070068359375
443,63,5.67,32.9397087097168,33.892425537109375
444,102,9.18,33.14279556274414,34.579437255859375
447,26,2.34,32.47367477416992,32.89093017578125
452,32,2.88,32.689918518066406,33.800140380859375
453,82,7.38,32.50982666015625,33.355804443359375
456,45,4.05,33.17106246948242,34.740081787109375
461,58,5.22,32.51936721801758,33.05157470703125
467,23,2.07,32.792564392089844,33.557464599609375
470,391,35.19,32.8958740234375,34.787933349609375
475,22,1.98,32.69269561767578,33.383148193359375
476,101,9.09,32.937225341796875,34.005218505859375
478,45,4.05,32.57046890258789,33.266937255859375
479,48,4.32,32.71797180175781,33.701019287109375
485,30,2.6999999999999997,32.32411193847656,32.68927001953125
486,403,36.269999999999996,32.94572067260742,34.863128662109375
491,23,2.07,32.57707214355469,32.87042236328125
492,43,3.8699999999999997,32.69952392578125,33.571136474609375
499,60,5.3999999999999995,32.66448974609375,33.348968505859375
506,63,5.67,32.539306640625,33.03448486328125
508,31,2.79,32.47745895385742,32.84991455078125
510,26,2.34,32.352596282958984,32.71319580078125
511,28,2.52,32.94477462768555,33.793304443359375
512,57,5.13,33.3252067565918,34.921234130859375
513,46,4.14,33.14698791503906,34.531585693359375
515,157,14.129999999999999,33.20844268798828,34.852874755859375
517,313,28.169999999999998,33.46097183227539,36.032073974609375
519,22,1.98,32.44037628173828,32.84991455078125
522,23,2.07,32.792999267578125,34.073577880859375
523,31,2.79,32.468204498291016,33.15069580078125
530,89,8.01,33.3972282409668,35.300628662109375
532,294,26.459999999999997,32.68132019042969,33.977874755859375
536,54,4.859999999999999,33.25825119018555,34.452972412109375
537,106,9.54,32.83918380737305,33.930023193359375
538,37,3.33,33.33980941772461,35.680023193359375
539,43,3.8699999999999997,32.584659576416016,33.02081298828125
543,681,61.29,33.1366081237793,36.4114990234375
545,45,4.05,33.25506591796875,34.808441162109375
548,54,4.859999999999999,32.51209259033203,33.10968017578125
550,50,4.5,32.61640167236328,33.513031005859375
553,105,9.45,32.663360595703125,33.530120849609375
555,49,4.41,32.793487548828125,33.612152099609375
556,22,1.98,33.01911544799805,34.374359130859375
558,23,2.07,32.50633239746094,33.01055908203125
559,108,9.719999999999999,33.055572509765625,34.264984130859375
561,22,1.98,32.73012924194336,33.393402099609375
563,208,18.72,33.19754409790039,35.242523193359375
566,51,4.59,32.5691032409668,33.249847412109375
567,28,2.52,32.90522384643555,33.967620849609375
569,53,4.77,32.620330810546875,33.656585693359375
571,440,39.6,32.883235931396484,34.405120849609375
572,50,4.5,32.65946960449219,33.608734130859375
575,118,10.62,33.16411590576172,35.625335693359375
576,21,1.89,32.375789642333984,32.74053955078125
578,46,4.14,32.76899337768555,33.584808349609375
579,37,3.33,32.765296936035156,33.820648193359375
582,39,3.51,32.565948486328125,33.506195068359375
584,47,4.2299999999999995,33.22575759887695,34.493988037109375
589,50,4.5,32.509822845458984,33.201995849609375
590,267,24.029999999999998,33.33708572387695,35.645843505859375
591,27,2.4299999999999997,32.380130767822266,32.68927001953125
592,95,8.549999999999999,32.728450775146484,33.489105224609375
600,22,1.98,32.64809799194336,33.335296630859375
601,31,2.79,32.32530975341797,32.53887939453125
602,140,12.6,33.11052322387695,34.832366943359375
604,72,6.4799999999999995,32.57647705078125,33.236175537109375
608,30,2.6999999999999997,32.42050552368164,32.86700439453125
609,333,29.97,32.90073776245117,34.675140380859375
610,80,7.199999999999999,32.732852935791016,33.519866943359375
615,83,7.47,32.854820251464844,33.759124755859375
616,28,2.52,32.50286865234375,33.09259033203125
618,153,13.77,32.92558670043945,34.080413818359375
619,423,38.07,33.11787414550781,34.996429443359375
620,127,11.43,32.853477478027344,33.786468505859375
621,22,1.98,32.49895095825195,32.89093017578125
622,35,3.15,32.486724853515625,33.03790283203125
623,30,2.6999999999999997,32.56599426269531,33.03790283203125
624,23,2.07,32.75926971435547,33.502777099609375
628,53,4.77,32.59498596191406,33.762542724609375
629,70,6.3,34.06501770019531,36.4832763671875
631,284,25.56,34.01516342163086,38.352935791015625
633,22,1.98,32.718482971191406,33.950531005859375
634,39,3.51,32.408546447753906,33.06866455078125
